[00:05:000.53 --> 00:05:001.09] [Roan]  Nou, daar gaan we.
[00:12:029.17 --> 00:12:030.95] [Ermo]  Het is een beetje, oh sorry.
[00:12:027.95 --> 00:12:037.19] [Roan]  Maar is het ook zo als een persoon zoiets zou zeggen van, oh ja, deze persoon is een goed iemand om aan te nemen,
[00:12:037.57 --> 00:12:045.83] [Roan]  en dan met diezelfde uitleg, is het dan van, oh ja, dat is wel een goede uitleg, dat is een logische reden om daadwerkelijk zo'n persoon aan te nemen.
[00:12:045.93 --> 00:12:053.69] [Roan]  Dus niet per se staat het er duidelijk, maar is het ook als je erover nadenkt van, oh ja, dat zou wel een goed argument kunnen zijn om die persoon aan te nemen.
[00:12:057.28 --> 00:12:058.34] [Ermo]  Ja, ik vind dat wel, ja.
[00:12:059.03 --> 00:13:009.59] [Roan]  Allright. Nou, duidelijk. Ja, en deze uitleg zou dan dus ook kunnen helpen met daadwerkelijk het maken van een beslissing.
[00:13:009.73 --> 00:13:016.25] [Roan]  Dus als jouw keuze nu zou zijn, moeten we deze persoon wel of niet aannemen of op een sollicitatiegesprek laten komen,
[00:13:016.65 --> 00:13:018.43] [Roan]  dat zou hier dus mee kunnen helpen.
[00:13:010.56 --> 00:13:010.74] [Ermo]  Ja.
[00:13:019.15 --> 00:13:022.67] [Ermo]  Ja, ik denk het zeker. Ja, zeker. Ja, dit helpt zeker, ja.
[00:13:023.05 --> 00:13:024.27] [Ermo]  Oké, en dat maakt ons werk...
[00:13:024.27 --> 00:13:026.11] [Ermo]  Ons werk weer wat gemakkelijker.
[00:13:023.38 --> 00:13:024.32] [Roan]  En dus zeker ook als...
[00:13:026.70 --> 00:13:031.38] [Roan]  Dus zeker, vooral ook als het model daadwerkelijk bewezen is dat het goed presteert, dat het
[00:13:031.38 --> 00:13:036.29] [Roan]  vaak correct zit, dan zou dat al direct doorslaggevend kunnen zijn.
[00:13:037.09 --> 00:13:039.25] [Ermo]  Ja, dan hoef je dat allemaal niet meer zelf te doen.
[00:13:039.50 --> 00:13:039.64] [Roan]  Mhmm.
[00:13:041.83 --> 00:13:051.11] [Roan]  Ja, en dus dat komt dan ook een beetje op hetzelfde neer, maar dus de voorspelling die komt op dit moment dus ook over als betrouwbaar,
[00:13:051.45 --> 00:13:053.27] [Roan]  als je puur kijkt naar de uitleg?
[00:13:053.89 --> 00:13:055.07] [Roan]  Ja, voor mij wel.
[00:13:056.01 --> 00:14:005.65] [Roan]  Oké, en dat zou dus versterkt of verzwakt worden indien, ja, zeg maar hoe goed het model is als dat bekend zou zijn.
[00:14:006.11 --> 00:14:009.05] [Roan]  Dus meer vertrouwen als het beter werkt.
[00:14:006.57 --> 00:14:006.85] [Ermo]  Ja, ja.
[00:14:011.17 --> 00:14:018.51] [Roan]  Eh, ja, zou hier nog iets verder aan toegevoegd kunnen worden?
[00:14:018.95 --> 00:14:022.49] [Roan]  Qua, ja, bijvoorbeeld die kleurtjes, voegt dat nog wat toe?
[00:14:022.59 --> 00:14:024.05] [Roan]  Kan dat misschien beter weggehaald worden?
[00:14:024.25 --> 00:14:025.61] [Roan]  Of iets extra's erbij?
[00:14:025.91 --> 00:14:027.29] [Roan]  Of is het zo eigenlijk wel goed?
[00:14:027.85 --> 00:14:030.69] [Roan]  Is daar nog iets van een voorkeur voor?
[00:14:033.35 --> 00:14:037.29] [Roan]  Dus wat informatie die bijvoorbeeld mist of iets wat het minder duidelijk maakt?
[00:14:038.16 --> 00:14:038.36] [Ermo]  Ja.
[00:14:040.64 --> 00:14:046.78] [Ermo]  Even denken hoor, even kijken, vacature, kandidaat, vacature types.
[00:14:047.42 --> 00:14:050.76] [Ermo]  Die gele zie ik nog niet trouwens, maar die zat waarschijnlijk in het vorige.
[00:14:050.85 --> 00:14:052.87] [Roan]  Ja, die staat alleen in de uitgebreide.
[00:14:053.15 --> 00:14:053.71] [Roan]  Mag ik dat doen?
[00:14:053.73 --> 00:14:054.17] [Roan]  Ja, ja, zeker.
[00:14:051.89 --> 00:14:054.17] [Ermo]  Zal ik dat doen? Mag ik dat doen?
[00:14:055.47 --> 00:14:056.73] [Ermo]  Ja, hier staat ze wel.
[00:15:009.33 --> 00:15:011.61] [Ermo]  Ja, ja, dat helpt zeker.
[00:15:011.77 --> 00:15:011.85] [Ermo]  Ja.
[00:15:015.05 --> 00:15:021.31] [Ermo]  Wat je wel hebt is dat, je kunt in één oogopsnacht zien dat er drie,
[00:15:021.81 --> 00:15:024.59] [Ermo]  dus dat er één kandidaat gematcht is met de vacature,
[00:15:025.49 --> 00:15:030.91] [Ermo]  en dat dat dan gerelateerd wordt aan twee andere kandidaten.
[00:15:031.23 --> 00:15:031.43] [Ermo]  Ja.
[00:15:033.12 --> 00:15:034.66] [Ermo]  Ja, dus dat is ook duidelijk.
[00:15:035.94 --> 00:15:040.44] [Ermo]  En dan heb je de facturen match en dan heb je vergelijkende factures.
[00:15:041.51 --> 00:15:046.43] [Ermo]  Dat zijn er 1, 2, 3, 4...
[00:15:046.73 --> 00:15:047.25] [Ermo]  Vier.
[00:15:048.47 --> 00:15:054.81] [Ermo]  Dat zijn vier vacatures, verschillende vacatures, waar ook een relatie mee is.
[00:15:055.93 --> 00:15:056.99] [Ermo]  Ja, oké.
[00:15:057.25 --> 00:15:058.15] [Ermo]  Nee, ik vind het goed.
[00:15:058.91 --> 00:16:003.53] [Ermo]  Ik vind het prima, want anders is die kleurtjes perfect.
[00:16:003.69 --> 00:16:007.07] [Ermo]  Want anders lees je een beetje een lens, moet ik zeggen.
[00:16:007.11 --> 00:16:012.03] [Roan]  Dus dat helpt wel om het wat duidelijker op één oogopslag naar voren te laten komen.
[00:16:012.47 --> 00:16:012.95] [Ermo]  Zeker.
[00:16:013.91 --> 00:16:014.27] [Roan]  All right.
[00:16:015.23 --> 00:16:021.23] [Roan]  En ja, bijvoorbeeld, dus om wel het model bijvoorbeeld nog even te kunnen verifiëren,
[00:16:021.37 --> 00:16:025.81] [Roan]  bijvoorbeeld hoe ver weg die persoon woont of bijvoorbeeld hoeveel uur die persoon zou
[00:16:025.81 --> 00:16:029.71] [Roan]  willen werken ten opzichte van wat er in de vacature staat, dat soort informatie, is het
[00:16:029.71 --> 00:16:034.79] [Roan]  handig om dat ook in één oogopslag erbij te hebben of is het beter om gewoon het idee
[00:16:034.79 --> 00:16:038.77] [Roan]  te hebben van, oh, het model heeft daar al naar gekeken, dus daar hoef ik me geen zorgen
[00:16:038.77 --> 00:16:039.31] [Roan]  over te maken.
[00:16:042.61 --> 00:16:055.27] [Ermo]  Ja, wat je eigenlijk zegt Roan, is dat je hebt een personeel, een nieuw personeel wil je graag aannemen.
[00:16:055.57 --> 00:17:002.89] [Ermo]  En daar heb je een profiel bij, dus wij willen iemand aannemen en die moet voor minimaal 80% kunnen werken.
[00:17:004.78 --> 00:17:013.42] [Ermo]  Dus voor 0,8 FTE. Dan als het een 0,6 FTE, als dat staat in de motivatiebrief,
[00:17:014.38 --> 00:17:019.26] [Ermo]  ja dan is het een no-go al, Roan. Dus je hebt inderdaad een aantal dingen die gewoon
[00:17:019.26 --> 00:17:025.80] [Ermo]  belangrijk zijn. Dat als je daar niet aan voldoet, ja dan hoef je me er ook niet mee te bemoeien, zeg maar.
[00:17:020.44 --> 00:17:020.64] [Roan]  Mhm.
[00:17:027.96 --> 00:17:037.44] [Ermo]  Mijn ervaring zegt dat om dat ter discussie te brengen, is ethisch vaak ook lastig en
[00:17:037.44 --> 00:17:040.64] [Ermo]  is vaak voor mij al een reden om iemand niet...
[00:17:041.61 --> 00:17:045.55] [Ermo]  te vragen voor een interview. Begrijp je wat ik bedoel? Dus er zijn gewoon een aantal essentiële
[00:17:045.55 --> 00:17:052.38] [Ermo]  dingen die moeten erin staan. Dus als iemand moet lesgeven, lecturer is en niet gepromoveerd
[00:17:052.38 --> 00:17:057.55] [Ermo]  is, ja, dan is dat gewoon een no-go, weet je. Dus dat zijn zo van die dingen. Daar moeten
[00:17:057.55 --> 00:18:000.59] [Ermo]  ze zeker aan voldoen. Dus die moeten er sowieso uitgehaald worden.
[00:18:000.74 --> 00:18:007.26] [Roan]  Ja, oké, dus die zullen dan inderdaad überhaupt niet als match aangegeven moeten worden, dus oké.
[00:18:006.38 --> 00:18:012.52] [Ermo]  Nee, want het staat duidelijk in de vacature-tekst en dan komt iemand met een brief en een cv
[00:18:012.52 --> 00:18:018.82] [Ermo]  en een motivatiebrief waaruit blijkt dat hij of zij er niet aan kan voldoen.
[00:18:019.00 --> 00:18:021.36] [Ermo]  Dan is het ook einde oefening.
[00:18:021.48 --> 00:18:025.92] [Roan]  Ja, nee, snap ik. Oké, duidelijk. Dus ja, dat hoeft dan niet per se nog in de tekst vermeld te worden.
[00:18:026.02 --> 00:18:029.42] [Roan]  Dan is het beter om gewoon het besef te hebben van, oh, die zou er al uitgefilterd zijn,
[00:18:029.54 --> 00:18:031.48] [Roan]  dus deze persoon voelt het er sowieso aan.
[00:18:029.66 --> 00:18:033.29] [Ermo]  Die moet je er wel uit filmen, daar moet je ons niet mee vermoeien.
[00:18:034.37 --> 00:18:038.66] [Ermo]  Want anders ga je je vergissen en dan kom je in ethische dilemma's.
[00:18:038.85 --> 00:18:039.33] [Ermo]  Ja, duidelijk.
[00:18:039.55 --> 00:18:040.37] [Ermo]  Dat wil je niet.
[00:18:040.62 --> 00:18:041.62] [Ermo]  Ja, oké.
[00:18:042.46 --> 00:18:042.83] [Ermo]  Allright.
[00:18:043.09 --> 00:18:045.77] [Ermo]  Die krijg je ook in een hele makkelijke brief terug, Roan.
[00:18:038.54 --> 00:18:039.26] [Roan]  Ja, duidelijk.
[00:18:045.90 --> 00:18:047.64] [Roan]  Ja, van niet aan de eisen voldaan.
[00:18:048.08 --> 00:18:051.68] [Ermo]  Ik vraag iemand voor vier dagen in de week en niet voor drie dagen in de week.
[00:18:051.72 --> 00:18:059.40] [Roan]  Ja, precies. Oké, dan kunnen we door naar een van de volgende types uitleg.
[00:18:059.68 --> 00:19:004.84] [Roan]  De geschreven is dan klaar, dus we kunnen denk ik het beste naar de graafuitleg gaan.
[00:19:004.90 --> 00:19:005.28] [Ermo]  Ik ben benieuwd.
[00:18:052.82 --> 00:18:052.88] [Ermo]  Oké.
[00:19:007.79 --> 00:19:008.65] [Ermo]  Even kijken...
[00:19:011.24 --> 00:19:015.60] [Roan]  Als je eerst een beetje naar rechts gaat met je muis en dan omlaag scrolt,
[00:19:016.58 --> 00:19:020.82] [Roan]  ja, niet binnen het vierkantje, want dan zoom je uit, dus rechts van het vierkantje,
[00:19:021.66 --> 00:19:023.00] [Roan]  en dan nu naar beneden scrolt,
[00:19:023.60 --> 00:19:027.62] [Roan]  ja, daar staat nog even wat uitleg over hoe die graaf te lezen valt.
[00:19:028.63 --> 00:19:031.31] [Ermo]  Ja, en waarom moet ik naar rechts? Oh, ik moet hem inzoomen.
[00:19:031.61 --> 00:19:034.43] [Roan]  Ja, als je scrolt binnen dat vak, dan zoom je in en uit.
[00:19:034.59 --> 00:19:038.03] [Roan]  Maar dus om laag te scrollen moet je even uit het vak met je muis, maar je kan ook...
[00:19:038.03 --> 00:19:039.61] [Ermo]  Ja, maar dat doe ik nu hè, ik breng hem nu omlaag...
[00:19:040.87 --> 00:19:042.37] [Ermo]  En wat moet ik nu doen met het diagram?
[00:19:042.78 --> 00:19:048.50] [Roan]  Ja, er staat dus onderaan de uitleg wat alle verschillende dingen inhouden.
[00:19:048.62 --> 00:19:053.64] [Roan]  Dus je hebt die knopen en die kunnen gesleept worden om ze te herschikken.
[00:19:054.02 --> 00:19:059.18] [Roan]  En ja, als je dus op zo'n knoop klikt, dan worden alle verbindingen gehighlighted.
[00:19:059.20 --> 00:20:002.30] [Ermo]  Ja, ik zie dat. Oké, laten we dat eens even proberen.
[00:20:002.34 --> 00:20:009.02] [Roan]  En als je er ook in loopt, dan zie je daar dus de nep vacature van die persoon, of een nep cv van die persoon.
[00:20:004.99 --> 00:20:005.17] [Ermo]  Ja.
[00:20:011.24 --> 00:20:018.00] [Roan]  Ja, sommige van die lijnen die lopen door elkaar heen, want dat wordt op een willekeurige manier aangemaakt.
[00:20:018.14 --> 00:20:024.08] [Roan]  Maar wat handig is, als je weer omhoog scrolt, dus weer even uit het vierkantje gaat en dan omhoog scrolt,
[00:20:024.52 --> 00:20:029.04] [Roan]  dan is er hier weer de simpele weergave. Het is misschien handig om die even aan te zetten.
[00:20:030.40 --> 00:20:031.12] [Ermo]  Dat is deze?
[00:20:031.34 --> 00:20:031.46] [Roan]  Ja.
[00:20:032.82 --> 00:20:036.84] [Roan]  Ja, dus nu gaat het er weer over voor de uitleg.
[00:20:037.10 --> 00:20:046.70] [Roan]  Als je hier naar kijkt, is het dan duidelijk welke informatie of welke kenmerken het belangrijkst zijn voor het model om uiteindelijk die voorspelling te maken?
[00:20:046.72 --> 00:20:047.14] [Roan]  Ja, even kijken.
[00:20:047.45 --> 00:20:048.15] [Ermo]  Oké, de vacature.
[00:20:048.19 --> 00:20:048.19] [Ermo]  is vervuld...
[00:20:048.41 --> 00:20:048.65] [Ermo]  M-hm.
[00:20:050.50 --> 00:20:051.60] [Ermo]  ...
[00:20:052.77 --> 00:20:056.27] [Ermo]  Kijk, dan moet ik toch even kijken, hoe krijg ik dat?
[00:20:057.66 --> 00:21:000.16] [Ermo]  Ik kan dat bijna niet zien, want ik moet dat even...
[00:21:000.16 --> 00:21:001.48] [Ermo]  Is het de klein letter type?
[00:21:002.66 --> 00:21:004.16] [Ermo]  Ja, ik kan...
[00:21:004.16 --> 00:21:006.85] [Ermo]  Straat heeft... Wat staat er?
[00:21:006.90 --> 00:21:007.64] [Ermo]  Heeft subtype.
[00:21:006.79 --> 00:21:009.69] [Roan]  Een subtype en dan een waarde 1.04.
[00:21:011.04 --> 00:21:012.64] [Ermo]  Ah, oké, en wat betekent dat?
[00:21:013.77 --> 00:21:023.91] [Roan]  Heeft subtype is dus in het geval de vacature 147542, die heeft dus het subtype secretaresse, dus het domein waar het binnen valt.
[00:21:024.59 --> 00:21:031.29] [Roan]  En de waarde, die 1.04, dat is dus de waarde die het model aan die verbinding heeft toegekend.
[00:21:036.05 --> 00:21:040.49] [Ermo]  En hetzelfde geldt dan voor assistant en administratieve medewerker.
[00:21:041.99 --> 00:21:042.77] [Ermo]  Oké.
[00:21:043.11 --> 00:21:046.31] [Ermo]  Oké, en daaronder staat dan heeft waarde vervuld.
[00:21:046.55 --> 00:21:047.07] [Ermo]  Oké.
[00:21:047.90 --> 00:21:053.10] [Ermo]  Die groene is... dat is dan waarschijnlijk een andere...
[00:21:053.98 --> 00:22:000.10] [Ermo]  Nee, Roan, ik moet even heel hard nadenken wat hier nou precies staat weergegeven.
[00:22:002.18 --> 00:22:004.00] [Ermo]  Hier moet je me een beetje bij helpen.
[00:22:004.10 --> 00:22:004.46] [Ermo]  Oké.
[00:22:004.89 --> 00:22:014.43] [Roan]  Ja, dus de grootte van de pijl en dus ook die waardescoren die erbij staan, dat geeft dus eigenlijk aan hoe belangrijk het model die verbinding vond.
[00:22:015.33 --> 00:22:024.29] [Roan]  En dus gaat het eigenlijk om wat is het dikst gedrukte pad van de vacature naar die kandidaat.
[00:22:024.35 --> 00:22:031.75] [Roan]  En dat is eigenlijk dus wat het model het belangrijkste pad vond tussen die twee dingen.
[00:22:033.07 --> 00:22:043.39] [Roan]  Dus in dit geval is dat het onderste pad en daar kun je dus door de naam van die pijlen zeg maar zien wat telkens de verbindingen zijn tussen die dingen in dat pad.
[00:22:044.43 --> 00:22:045.57] [Roan]  Dus helpt dat dan al een beetje?
[00:22:047.06 --> 00:22:051.94] [Ermo]  Ja, maar dan zie ik wel nog dat er ook andere kandidaten zijn, hè?
[00:22:052.07 --> 00:22:052.25] [Ermo]  M-hm.
[00:22:053.25 --> 00:22:058.79] [Ermo]  En die vallen dan uiteindelijk af, want je kiest dan waarschijnlijk voor de kandidaat helemaal rechts.
[00:22:058.97 --> 00:22:059.13] [Ermo]  Ja, ja.
[00:22:059.13 --> 00:23:000.43] [Ermo]  Dat is dan de keuze, hè.
[00:23:000.87 --> 00:23:002.29] [Ermo]  Dat begrijp ik ook.
[00:23:002.93 --> 00:23:010.45] [Ermo]  En eigenlijk zeg je met die andere kandidaten dat er dus een relatie is, of dat die ook op dat vlak scoren,
[00:23:010.55 --> 00:23:014.17] [Ermo]  maar wellicht minder goed scoren als de kandidaat die je wil kiezen.
[00:23:000.58 --> 00:23:000.80] [Ermo]  Oké.
[00:23:014.45 --> 00:23:014.71] [Ermo]  mhm
[00:23:015.20 --> 00:23:019.74] [Roan]  Ja, dat die niet geselecteerd zijn, dat kan voor allerlei redenen zijn.
[00:23:019.92 --> 00:23:021.52] [Roan]  Dus bijvoorbeeld, ja, die zijn niet beschikbaar.
[00:23:021.90 --> 00:23:026.34] [Roan]  Of bijvoorbeeld die kandidaat 3844, die heeft de vacature in het verleden dus al een keer vervuld.
[00:23:026.70 --> 00:23:029.72] [Roan]  Dus die zal waarschijnlijk niet nog een keer willen komen.
[00:23:031.54 --> 00:23:033.02] [Roan]  Dus ja, is het dan een beetje duidelijker?
[00:23:033.33 --> 00:23:039.37] [Ermo]  Ja, dan is het duidelijker. Dus nu zie ik inderdaad het pad en dat is inderdaad het pad dat ook beschreven was in de tekst.
[00:23:039.44 --> 00:23:046.74] [Roan]  Ja, exact. Dus het is inderdaad, die vacature is vervuld door die kandidaat 3844 en die heeft een vacature.
[00:23:046.90 --> 00:23:052.56] [Roan]  Dus ze lijken allemaal een beetje op elkaar, dus vandaar dat die 4119 uiteindelijk is besloten.
[00:23:053.54 --> 00:24:000.30] [Roan]  Oké, is het dan ook nu duidelijk wat dus de minder belangrijke informatie was die weergegeven was?
[00:24:002.10 --> 00:24:006.90] [Ermo]  Ja, dat is wat in die bovenste lijnen staat, toch?
[00:24:007.13 --> 00:24:012.65] [Roan]  Ja, ja, precies. Dus die dunnere lijnen zijn eigenlijk de minder belangrijke informatie.
